height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 508
P.y = 19.188055, Pt.y = 0.000000, Q.y = 19.188055, Qt.y = 0.000000, R.y = 19.188055, Rt.y = 0.000000, S.y = 19.188055, St.y = 0.000000
P.y = 19.169510, Pt.y = 0.000000, Q.y = 19.169510, Qt.y = 0.000000, R.y = 19.169510, Rt.y = 0.000000, S.y = 19.169510, St.y = 0.000000
P.y = 19.150757, Pt.y = 0.000000, Q.y = 19.150757, Qt.y = 0.000000, R.y = 19.150757, Rt.y = 0.000000, S.y = 19.150757, St.y = 0.000000
P.y = 19.131794, Pt.y = 0.000000, Q.y = 19.131794, Qt.y = 0.000000, R.y = 19.131794, Rt.y = 0.000000, S.y = 19.131794, St.y = 0.000000
P.y = 19.112621, Pt.y = 0.000000, Q.y = 19.112621, Qt.y = 0.000000, R.y = 19.112621, Rt.y = 0.000000, S.y = 19.112621, St.y = 0.000000
P.y = 19.093239, Pt.y = 0.000000, Q.y = 19.093239, Qt.y = 0.000000, R.y = 19.093239, Rt.y = 0.000000, S.y = 19.093239, St.y = 0.000000
P.y = 19.073647, Pt.y = 0.000000, Q.y = 19.073647, Qt.y = 0.000000, R.y = 19.073647, Rt.y = 0.000000, S.y = 19.073647, St.y = 0.000000
P.y = 19.053846, Pt.y = 0.000000, Q.y = 19.053846, Qt.y = 0.000000, R.y = 19.053846, Rt.y = 0.000000, S.y = 19.053846, St.y = 0.000000
P.y = 19.033836, Pt.y = 0.000000, Q.y = 19.033836, Qt.y = 0.000000, R.y = 19.033836, Rt.y = 0.000000, S.y = 19.033836, St.y = 0.000000
P.y = 19.013617, Pt.y = 0.000000, Q.y = 19.013617, Qt.y = 0.000000, R.y = 19.013617, Rt.y = 0.000000, S.y = 19.013617, St.y = 0.000000
P.y = 18.993187, Pt.y = 0.000000, Q.y = 18.993187, Qt.y = 0.000000, R.y = 18.993187, Rt.y = 0.000000, S.y = 18.993187, St.y = 0.000000
P.y = 18.972549, Pt.y = 0.000000, Q.y = 18.972549, Qt.y = 0.000000, R.y = 18.972549, Rt.y = 0.000000, S.y = 18.972549, St.y = 0.000000
P.y = 18.951702, Pt.y = 0.000000, Q.y = 18.951702, Qt.y = 0.000000, R.y = 18.951702, Rt.y = 0.000000, S.y = 18.951702, St.y = 0.000000
P.y = 18.930645, Pt.y = 0.000000, Q.y = 18.930645, Qt.y = 0.000000, R.y = 18.930645, Rt.y = 0.000000, S.y = 18.930645, St.y = 0.000000
P.y = 18.909378, Pt.y = 0.000000, Q.y = 18.909378, Qt.y = 0.000000, R.y = 18.909378, Rt.y = 0.000000, S.y = 18.909378, St.y = 0.000000
